id,url,tag,right_tag_cn,您的注释,待验证组合tag,待验证相克tag
1078,clitoral_stimulation,clitoral_stimulation,玩弄阴蒂,,,
1079,clitoris,clitoris,阴核,,,
1080,clitoris_piercing,clitoris_piercing,阴核环,,,
1081,cloak,cloak,斗篷,,,
1082,clock,clock,时钟,,,
1083,clock_tower,clock_tower,钟楼,,,
1084,clone,clone,克隆,,,
1085,close-up,close-up,特写镜头,,,
1086,closed_eyes,closed_eyes,闭上的眼睛,,,
1087,closed_fan,closed_fan,折扇,,,
1088,closed_mouth,closed_mouth,闭着的嘴,,,
1089,closed_umbrella,closed_umbrella,收着的伞,,,
1090,cloth,cloth,布,,,
1091,clothed_animal,clothed_animal,有衣着的动物,,,
1092,clothed_female_nude_female,clothed_female_nude_female,穿着衣服的女性和裸女,,,
1093,clothed_female_nude_male,clothed_female_nude_male,穿着衣服的女性和裸男,,,
1094,clothed_male_nude_female,clothed_male_nude_female,穿着衣服的男性和裸女,,,
1095,clothed_masturbation,clothed_masturbation,穿着衣服自慰,,,
1096,clothed_pokemon,clothed_pokemon,有衣着的口袋妖怪,,,
1097,clothed_sex,clothed_sex,着衣性交,,,
1098,clothes,clothes,衣服,,,
1099,clothes_around_waist,clothes_around_waist,衣服系在腰上,,,
1100,clothes_between_breasts,clothes_between_breasts,衣服勒在乳沟里,,,
1101,clothes_between_thighs,clothes_between_thighs,衣物挂到大腿之间,,,
1102,clothes_down,clothes_down,褪下衣物,,,
1103,clothes_grab,clothes_grab,扯着衣物,,,
1104,clothes_hanger,clothes_hanger,衣架,,,
1105,clothes_lift,clothes_lift,掀起衣物,,,
1106,clothes_pull,clothes_pull,拉开衣物,,,
1107,clothes_removed,clothes_removed,脱下的衣服,,,
1108,clothes_theft,clothes_theft,偷衣服,,,
1109,clothes_tug,clothes_tug,拖拽衣服,,,
1110,clothes_writing,clothes_writing,印着字的T恤,,,
1111,clothesline,clothesline,晒衣服,,,
1112,cloud,cloud,云,,,
1113,cloud_hair,cloud_hair,云絮状发型,,,
1114,cloud_print,cloud_print,云状印花,,,
1115,cloudy_sky,cloudy_sky,多云天气,,,
1116,clover,clover,三叶草,,,
1117,clover_hair_ornament,clover_hair_ornament,三叶草发饰,,,
1118,club,club,棍棒,,,
1119,club_(shape),club_(shape),梅花(扑克),,,
1120,coat,coat,外套,,,
1121,coattails,coattails,燕尾,,,
1122,coca-cola,coca-cola,可口可乐,,,
1123,cockpit,cockpit,外套,,,
1124,cocktail,cocktail,鸡尾酒,,,
1125,cocktail_dress,cocktail_dress,(社交场合穿的)短裙,,,
1126,cocktail_glass,cocktail_glass,鸡尾酒杯,,,
1127,coffee,coffee,咖啡,,,
1128,coffee_cup,coffee_cup,咖啡杯,,,
1129,coffee_mug,coffee_mug,马克杯,,,
1130,coffin,coffin,棺材,,,
1131,coin,coin,硬币,,,
1132,coke-bottle_glasses,coke-bottle_glasses,厚如玻璃瓶底的圆眼镜,,,
1133,cold,cold,寒冷的,,,
1134,collage,collage,拼贴画,,,
1135,collar,collar,项圈,,,
1136,collarbone,collarbone,锁骨,,,
1137,collared_blouse,collared_blouse,翻领短衫,,,
1138,collared_dress,collared_dress,有领连衣裙,,,
1139,collared_jacket,collared_jacket,翻领夹克,,,
1140,collared_shirt,collared_shirt,翻领衬衫,,,
1141,color_connection,color_connection,色彩关联,,,
1142,color_guide,color_guide,色标卡,,,
1143,color_trace,color_trace,原画,,,
1144,colored_eyelashes,colored_eyelashes,彩色的睫毛,,,
1145,colored_inner_hair,colored_inner_hair,内层挑染,,,
1146,colored_pencil_(medium),colored_pencil_(medium),彩色铅笔画,,,
1147,colored_pubic_hair,colored_pubic_hair,阴毛颜色,,,
1148,colored_stripes,colored_stripes,多彩条纹,,,
1149,colorful,colorful,五彩斑斓的,,,
1150,column,column,柱子,,,
1151,column_lineup,column_lineup,立绘并列,,,
1152,comb,comb,梳子,,,
1153,combat_boots,combat_boots,军用靴,,,
1154,come_hither,come_hither,诱受,,,
1155,comforting,comforting,安慰,,,
1156,comic,comic,漫画,,,
1157,command_spell,command_spell,令咒,,,
1158,company_connection,company_connection,联动,,,
1159,company_name,company_name,有版权署名,,,
1160,comparison,comparison,对比图,,,
1161,competition_school_swimsuit,competition_school_swimsuit,竞泳死库水,,,
1162,competition_swimsuit,competition_swimsuit,赛用泳衣,,,
1163,computer,computer,计算机,,,
1164,concept_art,concept_art,概念艺术,,,
1165,condensation_trail,condensation_trail,飞机云,,,
1166,condom,condom,避孕套,,,
1167,condom_in_mouth,condom_in_mouth,口叼避孕套,,,
1168,condom_on_penis,condom_on_penis,戴避孕套,,,
1169,condom_packet_strip,condom_packet_strip,避孕套包装,,,
1170,condom_wrapper,condom_wrapper,避孕套包装,,,
1171,confession,confession,表白,,,
1172,confetti,confetti,彩色纸屑(祝贺),,,
1173,consensual_tentacles,consensual_tentacles,非强行的触手侵犯,,,
1174,constellation,constellation,星座,,,
1175,constricted_pupils,constricted_pupils,收缩的瞳孔,,,
1176,contemporary,contemporary,现代改编,,,
1177,contrapposto,contrapposto,对立式平衡,,,
1178,controller,controller,控制器,,,
1179,convenience_store,convenience_store,便利店,,,
1180,convenient_arm,convenient_arm,遮住关键部位的手臂,,,
1181,convenient_censoring,convenient_censoring,简单巧妙的打码,,,
1182,convenient_leg,convenient_leg,挡住关键部位的腿,,,
1183,cookie,cookie,曲奇,,,
1184,cooking,cooking,烹饪,,,
1185,cooler,cooler,冷藏器,,,
1186,copyright,copyright,版权,,,
1187,copyright_name,copyright_name,版权署名,,,
1188,coral,coral,珊瑚,,,
1189,corded_phone,corded_phone,有线电话,,,
1190,corn,corn,玉米,,,
1191,corpse,corpse,尸体,,,
1192,corruption,corruption,恶堕|婊子化,,,
1193,corset,corset,束腰,,,
1194,cosplay,cosplay,角色扮演,,,
1195,costume,costume,服装,,,
1196,costume_switch,costume_switch,服饰互换,,,
1197,cotton_candy,cotton_candy,棉花糖,,,
1198,couch,couch,沙发,,,
1199,countdown,countdown,倒计时,,,
1200,counter,counter,柜台,,,
1201,couple,couple,情侣,,,
1202,cousins,cousins,表亲,,,
1203,cover,cover,封面,,,
1204,cover_image,cover_image,封面图片,,,
1205,cover_page,cover_page,封面,,,
1206,covered_collarbone,covered_collarbone,有衣物裹住的锁骨,,,
1207,covered_eyes,covered_eyes,蒙住的眼,,,
1208,covered_face,covered_face,蒙脸,,,
1209,covered_mouth,covered_mouth,蒙住的嘴,,,
1210,covered_navel,covered_navel,隐约入目的肚脐,,,
1211,covered_nipples,covered_nipples,激凸的乳头|隐约可见的乳头,,,
1212,covering,covering,遮盖的动作,,,
1213,covering_ass,covering_ass,遮着臀部,,,
1214,covering_breasts,covering_breasts,遮着乳房,,,
1215,covering_crotch,covering_crotch,遮着裆部,,,
1216,covering_eyes,covering_eyes,遮住眼睛,,,
1217,covering_face,covering_face,挡住脸,,,
1218,covering_mouth,covering_mouth,挡住嘴巴,,,
1219,covering_nipples,covering_nipples,挡住乳头,,,
1220,cow,cow,牛,,,
1221,cow_ears,cow_ears,牛耳朵,,,
1222,cow_girl,cow_girl,牛娘,,,
1223,cow_horns,cow_horns,牛角,,,
1224,cow_print,cow_print,奶牛系印花,,,
1225,cow_tail,cow_tail,牛尾,,,
1226,cowboy_boots,cowboy_boots,牛仔靴,,,
1227,cowboy_hat,cowboy_hat,牛仔帽,,,
1228,cowboy_shot,cowboy_shot,七分身镜头,,,
1229,cowgirl_position,cowgirl_position,女上位,,,
1230,crab,crab,螃蟹,,,
1231,crack,crack,裂痕,,,
1232,craft_essence,craft_essence,概念礼装,,,
1233,crane_(machine),crane_(machine),起重机,,,
1234,crate,crate,大木箱,,,
1235,cravat,cravat,男式领巾,,,
1236,crazy,crazy,病娇,,,
1237,crazy_eyes,crazy_eyes,坏掉的眼神,,,
1238,cream,cream,奶油,,,
1239,creator_connection,creator_connection,同个原作者的角色们的同人,,,
1240,creature,creature,创造物,,,
1241,creature_and_personification,creature_and_personification,拟人化(含对比),,,
1242,credits_page,credits_page,书脊,,,
1243,crepe,crepe,可丽饼,,,
1244,crescent,crescent,月牙,,,
1245,crescent_earrings,crescent_earrings,月牙耳环,,,
1246,crescent_hair_ornament,crescent_hair_ornament,月牙发饰,,,
1247,crescent_moon,crescent_moon,新月,,,
1248,crescent_rose,crescent_rose,新月玫瑰,,,
1249,criss-cross_halter,criss-cross_halter,交叉吊带,,,
1250,crop_top,crop_top,露腹短上衣,,,
1251,crop_top_overhang,crop_top_overhang,乳帘,,,
1252,cropped_jacket,cropped_jacket,短夹克,,,
1253,cropped_legs,cropped_legs,只画了一部分腿,,,
1254,cropped_shirt,cropped_shirt,短衬衫,,,
1255,cropped_torso,cropped_torso,只画了一部分躯干,,,
1256,cropped_vest,cropped_vest,小款背心,,,
1257,cross,cross,十字,,,
1258,cross-laced_clothes,cross-laced_clothes,交叉花边服饰,,,
1259,cross-laced_footwear,cross-laced_footwear,交叉系带鞋,,,
1260,cross-section,cross-section,截面图,,,
1261,cross_earrings,cross_earrings,十字耳环,,,
1262,cross_hair_ornament,cross_hair_ornament,十字发饰,,,
1263,cross_necklace,cross_necklace,十字架项链,,,
1264,cross_print,cross_print,十字架元素图案,,,
1265,crossbow,crossbow,弩,,,
1266,crossdressing,crossdressing,(变装)女装|男装|女装男子|女装,,,
1267,crossed_ankles,crossed_ankles,交叉脚踝,,,
1268,crossed_arms,crossed_arms,交叉双臂,,,
1269,crossed_bangs,crossed_bangs,交叉的刘海,,,
1270,crossed_legs,crossed_legs,交叉的腿,,,
1271,crossover,crossover,跨界作品,,,
1272,crosswalk,crosswalk,人行横道,,,
1273,crotch,crotch,胯部,,,
1274,crotch_plate,crotch_plate,裆部有特别覆盖物,,,
1275,crotch_rope,crotch_rope,裆部勒着的绳子,,,
1276,crotch_rub,crotch_rub,摩擦裆部,,,
1277,crotch_seam,crotch_seam,裆部的缝,,,
1278,crotchless,crotchless,开裆的,,,
1279,crotchless_panties,crotchless_panties,开档内裤,,,
1280,crow,crow,乌鸦,,,
1281,crowd,crowd,人群,,,
1282,crown,crown,王冠|皇冠,,,
1283,crown_braid,crown_braid,法式冠编发,,,
1284,crying,crying,哭,,,
1285,crying_with_eyes_open,crying_with_eyes_open,睁着眼落泪,,,
1286,crystal,crystal,矿石,,,
1287,crystal_ball,crystal_ball,水晶球,,,
1288,crystal_earrings,crystal_earrings,水晶耳环,,,
1289,crystal_hair,crystal_hair,水晶状的头发,,,
1290,cube,cube,立方体,,,
1291,cucumber,cucumber,黄瓜,,,
1292,cuddling,cuddling,拥抱,,,
1293,cuffs,cuffs,手铐,,,
1294,cum,cum,精液,,,
1295,cum_in_ass,cum_in_ass,肛门内射,,,
1296,cum_in_mouth,cum_in_mouth,口内射精,,,
1297,cum_in_pussy,cum_in_pussy,内射|中出,,,
1298,cum_on_ass,cum_on_ass,射在屁股上,,,
1299,cum_on_body,cum_on_body,射在身上,,,
1300,cum_on_boy,cum_on_boy,射在男性身上,,,
1301,cum_on_breasts,cum_on_breasts,射在胸上,,,
1302,cum_on_clothes,cum_on_clothes,射在衣服上,,,
1303,cum_on_hair,cum_on_hair,射在头发上,,,
1304,cum_on_lower_body,cum_on_lower_body,射在下半身上,,,
1305,cum_on_pussy,cum_on_pussy,射在阴部上,,,
1306,cum_on_self,cum_on_self,射在自己身上,,,
1307,cum_on_stomach,cum_on_stomach,射在嘴里,,,
1308,cum_on_tongue,cum_on_tongue,射在舌头上,,,
1309,cum_on_upper_body,cum_on_upper_body,射在上半身,,,
1310,cum_pool,cum_pool,淌成一滩的精液,,,
1311,cum_string,cum_string,拉丝的精液,,,
1312,cum_while_penetrated,cum_while_penetrated,射在后庭里,,,
1313,cumdrip,cumdrip,溢出的精液(已拔出),,,
1314,cunnilingus,cunnilingus,舔阴,,,
1315,cup,cup,杯子,,,
1316,cup_ramen,cup_ramen,杯面,,,
1317,cupcake,cupcake,纸杯蛋糕,,,
1318,cupless_bra,cupless_bra,高露出度胸罩,,,
1319,curled_horns,curled_horns,弯曲的角,,,
1320,curly_hair,curly_hair,卷发,,,
1321,curry,curry,咖喱,,,
1322,curry_rice,curry_rice,咖喱饭,,,
1323,cursor,cursor,光标,,,
1324,curtains,curtains,窗帘,,,
1325,curtsey,curtsey,(女子的)屈膝礼,,,
1326,curvy,curvy,展现魅力的姿势,,,
1327,cushion,cushion,坐垫,,,
1328,cute_&_girly_(idolmaster),cute_&_girly_(idolmaster),cute&girly (偶像大师),,,
1329,cutoffs,cutoffs,热裤,,,
1330,cuts,cuts,割伤,,,
1331,cutting_board,cutting_board,砧板,,,
1332,cutting_hair,cutting_hair,剪头发,,,
1333,cyberpunk,cyberpunk,赛博朋克,,,
1334,cyborg,cyborg,赛博人类,,,
1335,cyclops,cyclops,独眼巨人,,,
1336,cyrillic,cyrillic,斯拉夫文,,,
1337,d-pad,d-pad,方向键,,,
1338,d-pad_hair_ornament,d-pad_hair_ornament,方向键发饰,,,
1339,d:,d:,d:,,,
1340,dagger,dagger,匕首,,,
1341,daisy,daisy,雏菊,,,
1342,dakimakura,dakimakura,抱枕,,,
1343,dakimakura_(object),dakimakura_(object),抱枕(物体),,,
1344,damaged,damaged,受损的,,,
1345,dancer,dancer,舞者,,,
1346,dancing,dancing,跳舞,,,
1347,dandelion,dandelion,蒲公英,,,
1348,dangerous_beast,dangerous_beast,《危险的野兽》FGO礼装,,,
1349,dango,dango,团子,,,
1350,danmaku,danmaku,弹幕,,,
1351,dappled_sunlight,dappled_sunlight,透过树叶洒下的阳光,,,
1352,dark,dark,黑暗,,,
1353,dark_areolae,dark_areolae,深色的乳晕,,,
1354,dark_aura,dark_aura,黑暗的光环|黑暗的气场,,,
1355,dark_blue_hair,dark_blue_hair,深蓝色头发,,,
1356,dark_elf,dark_elf,暗精灵,,,
1357,dark_nipples,dark_nipples,深色的乳头,,,
1358,dark_penis,dark_penis,深色的阴茎,,,
1359,dark_persona,dark_persona,黑化,,,
1360,dark_skin,dark_skin,褐色皮肤,,,
1361,darkness,darkness,黑暗,,,
1362,dated,dated,付上日期的,,,
1363,day,day,白天,,,
1364,death,death,死,,,
1365,debris,debris,碎片|残骸,,,
1366,debt,debt,负债的,,,
1367,decepticon,decepticon,霸天虎,,,
1368,deep_penetration,deep_penetration,捅到子宫,,,
1369,deep_skin,deep_skin,角色的另一面(多指色情),,,
1370,deepthroat,deepthroat,深喉,,,
1371,deer,deer,鹿,,,
1372,defeat,defeat,败北,,,
1373,demon,demon,恶魔,,,
1374,demon_boy,demon_boy,恶魔男孩,,,
1375,demon_girl,demon_girl,魅魔,,,
1376,demon_horns,demon_horns,恶魔的角,,,
1377,demon_tail,demon_tail,恶魔尾巴,,,
1378,demon_wings,demon_wings,恶魔翅膀,,,
1379,denim,denim,牛仔布,,,
1380,denim_shorts,denim_shorts,牛仔短裤,,,
1381,denim_skirt,denim_skirt,牛仔裙,,,
1382,depth_of_field,depth_of_field,景深(画法),,,
1383,desert,desert,沙漠,,,
1384,desk,desk,书桌,,,
1385,desk_lamp,desk_lamp,台灯,,,
1386,dessert,dessert,甜点,,,
1387,destruction,destruction,破坏,,,
1388,detached_collar,detached_collar,假领,,,
1389,detached_sleeves,detached_sleeves,分离袖子,,,
1390,detached_wings,detached_wings,不与本体相连的翅膀,,,
1391,diadem,diadem,冠饰,,,
1392,diagonal-striped_neckwear,diagonal-striped_neckwear,斜纹领结,,,
1393,diagonal_bangs,diagonal_bangs,斜刘海,,,
1394,diagonal_stripes,diagonal_stripes,斜纹,,,
1395,diamond_(gemstone),diamond_(gemstone),钻石(宝石),,,
1396,diamond_(shape),diamond_(shape),菱形(形状),,,
1397,diamond_(symbol),diamond_(symbol),菱形(符号),,,
1398,diaper,diaper,尿布,,,
1399,dice,dice,骰子,,,
1400,different_reflection,different_reflection,映出的另一面,,,
1401,diffraction_spikes,diffraction_spikes,衍射十字星,,,
1402,digital_dissolve,digital_dissolve,化成数据般消失,,,
1403,digital_media_player,digital_media_player,随身听,,,
1404,dildo,dildo,假阴茎,,,
1405,dimples_of_venus,dimples_of_venus,女性的腰窝|维纳斯之眼,,,
1406,dinosaur,dinosaur,恐龙,,,
1407,dirndl,dirndl,阿尔卑斯村姑裙,,,
1408,dirty,dirty,肮脏的,,,
1409,dirty_clothes,dirty_clothes,弄脏的衣服,,,
1410,dirty_face,dirty_face,弄脏的脸,,,
1411,dirty_feet,dirty_feet,弄脏的脚,,,
1412,disembodied_head,disembodied_head,分离的头,,,
1413,disembodied_limb,disembodied_limb,断肢,,,
1414,disembodied_penis,disembodied_penis,断掉的阴茎,,,
1415,disposable_cup,disposable_cup,一次性纸杯,,,
1416,dissolving,dissolving,溶解的,,,
1417,dissolving_clothes,dissolving_clothes,溶解掉的衣服,,,
1418,diving,diving,潜水,,,
1419,diving_mask,diving_mask,潜水面罩,,,
1420,diving_mask_on_head,diving_mask_on_head,头戴潜水面罩,,,
1421,dixie_cup_hat,dixie_cup_hat,狗盆帽,,,
1422,dock,dock,船坞,,,
1423,doctor,doctor,医生,,,
1424,dog,dog,狗,,,
1425,dog_collar,dog_collar,狗项圈,,,
1426,dog_ears,dog_ears,狗耳朵,,,
1427,dog_girl,dog_girl,犬娘,,,
1428,dog_tags,dog_tags,狗牌,,,
1429,dog_tail,dog_tail,狗尾巴,,,
1430,doggystyle,doggystyle,后入式,,,
1431,doily,doily,花边元素,,,
1432,doll,doll,人偶|玩偶,,,
1433,doll_hug,doll_hug,抱着玩偶,,,
1434,doll_joints,doll_joints,玩偶球形关节,,,
1435,dolphin,dolphin,海豚,,,
1436,dolphin_shorts,dolphin_shorts,海豚短裤,,,
1437,dominatrix,dominatrix,女王(SM中),,,
1438,domino_mask,domino_mask,SM面具,,,
1439,"don't_say_""lazy""","don't_say_""lazy""","《don't_say_""lazy""》",,,
1440,donation_box,donation_box,募捐箱,,,
1441,door,door,门,,,
1442,dot_nose,dot_nose,小圆点鼻,,,
1443,dotted_line,dotted_line,虚线,,,
1444,double-breasted,double-breasted,双排纽扣,,,
1445,double_bun,double_bun,团子头,,,
1446,double_dildo,double_dildo,双头假阴茎,,,
1447,double_handjob,double_handjob,双手各握着一根阴茎,,,
1448,double_penetration,double_penetration,二穴,,,
1449,double_v,double_v,啊嘿颜比V,,,
1450,double_vertical_stripe,double_vertical_stripe,服饰上有两条平行条纹,,,
1451,doughnut,doughnut,甜甜圈,,,
1452,dougi,dougi,武道服,,,
1453,doujin_cover,doujin_cover,同人封面,,,
1454,doujinshi,doujinshi,同人志,,,
1455,dove,dove,白鸽,,,
1456,downblouse,downblouse,胸部走光,,,
1457,dowsing_rod,dowsing_rod,占星杖,,,
1458,doyagao,doyagao,得意脸,,,
1459,dragging,dragging,角色在拖某物,,,
1460,dragon,dragon,龙,,,
1461,dragon_girl,dragon_girl,龙娘,,,
1462,dragon_horns,dragon_horns,龙角,,,
1463,dragon_tail,dragon_tail,龙尾,,,
1464,dragon_wings,dragon_wings,龙翼,,,
1465,dragonfly,dragonfly,蜻蜓,,,
1466,draph,draph,牛角族,,,
1467,drawer,drawer,抽屉,,,
1468,drawing,drawing,绘画,,,
1469,drawing_bow,drawing_bow,拉弓,,,
1470,drawing_tablet,drawing_tablet,手绘板,,,
1471,drawr,drawr,源drawr不可寻,,,
1472,drawstring,drawstring,衣服的抽绳,,,
1473,dreaming,dreaming,做梦,,,
1474,dress,dress,连衣裙,,,
1475,dress_bow,dress_bow,连衣裙上的蝴蝶结,,,
1476,dress_lift,dress_lift,掀起裙子,,,
1477,dress_pull,dress_pull,剥下裙子胸口的部分,,,
1478,dress_removed,dress_removed,脱下裙子,,,
1479,dress_shirt,dress_shirt,西服衬衫,,,
1480,dress_tug,dress_tug,压住裙摆,,,
1481,dressing,dressing,穿衣,,,
1482,dressing_another,dressing_another,着装,,,
1483,drill,drill,钻头,,,
1484,drill_hair,drill_hair,钻头发型,,,
1485,drink,drink,饮料,,,
1486,drinking,drinking,喝,,,
1487,drinking_glass,drinking_glass,酒杯,,,
1488,drinking_straw,drinking_straw,吸管,,,
1489,dripping,dripping,液体滴落,,,
1490,driving,driving,驾驶,,,
1491,drone,drone,无人机,,,
1492,drooling,drooling,流口水,,,
1493,drop_shadow,drop_shadow,立绘阴影,,,
1494,dropping,dropping,(意外)掉落,,,
1495,drugs,drugs,药物,,,
1496,drum,drum,鼓,,,
1497,drum_(container),drum_(container),桶(容器),,,
1498,drum_set,drum_set,架子鼓,,,
1499,drumsticks,drumsticks,鼓槌,,,
1500,drunk,drunk,喝醉的,,,
1501,drying,drying,弄干(浴后),,,
1502,drying_hair,drying_hair,弄干头发,,,
1503,dual_persona,dual_persona,双重人格,,,
1504,dual_wielding,dual_wielding,双持,,,
1505,duck,duck,鸭子,,,
1506,dudou,dudou,肚兜,,,
1507,duel,duel,决斗,,,
1508,duel_monster,duel_monster,游戏王决斗怪兽,,,
1509,duffel_bag,duffel_bag,行李包,,,
1510,duffel_coat,duffel_coat,粗呢大衣,,,
1511,dumbbell,dumbbell,哑铃,,,
1512,dusk,dusk,黄昏,,,
1513,dust,dust,灰尘,,,
1514,dust_cloud,dust_cloud,烟尘,,,
1515,duster,duster,掸子,,,
1516,dutch_angle,dutch_angle,德式倾斜镜头,,,
1517,dvd_cover,dvd_cover,DVD封面,,,
1518,eagle,eagle,鹰,,,
1519,ear_biting,ear_biting,咬耳朵,,,
1520,ear_blush,ear_blush,耳红,,,
1521,ear_piercing,ear_piercing,穿耳洞,,,
1522,ear_protection,ear_protection,护耳罩,,,
1523,ear_tag,ear_tag,耳标,,,
1524,earbuds,earbuds,耳塞,,,
1525,earmuffs,earmuffs,耳罩,,,
1526,earphones,earphones,耳机,,,
1527,earrings,earrings,耳环,,,
1528,ears,ears,多双耳朵,,,
1529,ears_down,ears_down,下垂的耳朵,,,
1530,ears_through_headwear,ears_through_headwear,为耳朵留洞的头饰,,,
1531,easel,easel,画架,,,
1532,east_asian_architecture,east_asian_architecture,东方风格建筑,,,
1533,easter_egg,easter_egg,复活节彩蛋,,,
1534,eastern_dragon,eastern_dragon,东方龙,,,
1535,eating,eating,咀嚼,,,
1536,egasumi,egasumi,工霞,,,
1537,egg,egg,蛋,,,
1538,egg_vibrator,egg_vibrator,跳蛋,,,
1539,eggplant,eggplant,茄子,,,
1540,egyptian,egyptian,埃及,,,
1541,egyptian_clothes,egyptian_clothes,埃及风格服饰,,,
1542,ehoumaki,ehoumaki,惠方卷,,,
1543,eighth_note,eighth_note,八分音符,,,
1544,ejaculation,ejaculation,射精,,,
1545,elbow_gloves,elbow_gloves,长手套,,,
1546,elbow_pads,elbow_pads,护肘,,,
1547,electric_fan,electric_fan,电风扇,,,
1548,electric_guitar,electric_guitar,电吉他,,,
1549,electric_socket,electric_socket,插座,,,
1550,electricity,electricity,电,,,
1551,elephant,elephant,大象,,,
1552,elf,elf,精灵,,,
1553,elite_four,elite_four,四天王,,,
1554,ema,ema,绘马,,,
1555,embarrassed,embarrassed,害羞,,,
1556,embellished_costume,embellished_costume,经润饰的服装,,,
1557,embers,embers,余烬,,,
1558,emblem,emblem,纹章,,,
1559,emerald_(gemstone),emerald_(gemstone),翡翠(宝石),,,
1560,emphasis_lines,emphasis_lines,集中线,,,
1561,empty_eyes,empty_eyes,空洞的眼神,,,
1562,energy_ball,energy_ball,能量球,,,
1563,energy_gun,energy_gun,镭射枪,,,
1564,energy_sword,energy_sword,光剑,,,
1565,english_text,english_text,英语,,,
1566,engrish_text,engrish_text,L和R不分的英文,,,
1567,enmaided,enmaided,女仆装,,,
1568,enpera,enpera,(围巾束成的)乌贼鳍发型,,,
1569,envelope,envelope,信封,,,
1570,epaulettes,epaulettes,肩章,,,
1571,epic,epic,壮丽且经典的故事(的同人),,,
1572,eraser,eraser,橡皮擦,,,
1573,erect_clitoris,erect_clitoris,膨胀的阴核,,,
1574,erection,erection,勃起,,,
1575,erection_under_clothes,erection_under_clothes,老二立帐篷,,,
1576,eromanga,eromanga,色情漫画,,,
1577,error,error,有问题的作画,,,
1578,erune,erune,兽耳族,,,
1579,evening,evening,傍晚,,,
1580,evening_gown,evening_gown,晚会礼服,,,
1581,everyone,everyone,集合绘,,,
1582,evil_grin,evil_grin,邪恶的露齿笑,,,
1583,evil_smile,evil_smile,邪恶的笑容,,,
1584,excessive_cum,excessive_cum,超大的射精量,,,
1585,excessive_pubic_hair,excessive_pubic_hair,极浓密的阴毛,,,
1586,exercise,exercise,做运动,,,
1587,exhibitionism,exhibitionism,露出,,,
1588,explosion,explosion,爆炸,,,
1589,explosive,explosive,易爆的,,,
1590,expression_chart,expression_chart,角色的多表情展示,,,
1591,expressionless,expressionless,无口,,,
1592,expressions,expressions,表情,,,
1593,expressive_clothes,expressive_clothes,富有表现力的衣服,,,
1594,expressive_hair,expressive_hair,富有表现力的头发,,,
1595,extra,extra,衍生角色(形象),,,
1596,extra_arms,extra_arms,多只手臂,,,
1597,extra_ears,extra_ears,四只耳朵,,,
1598,extra_eyes,extra_eyes,多只眼睛,,,
1599,extra_mouth,extra_mouth,有多张嘴巴,,,
1600,eye_contact,eye_contact,眼神交流,,,
1601,eye_of_horus,eye_of_horus,荷鲁斯之眼,,,
1602,eyeball,eyeball,眼球,,,
1603,eyebrows,eyebrows,眉毛,,,
1604,eyebrows_behind_hair,eyebrows_behind_hair,挡在头发下的眉毛,,,
1605,eyebrows_visible_through_hair,eyebrows_visible_through_hair,透过头发可以看到的眉毛,,,
1606,eyelashes,eyelashes,睫毛,,,
1607,eyeliner,eyeliner,眼线,,,
1608,eyepatch,eyepatch,眼罩,,,
1609,eyepatch_bikini,eyepatch_bikini,眼罩比基尼,,,
1610,eyepatch_removed,eyepatch_removed,摘眼罩,,,
1611,eyes,eyes,眼睛,,,
1612,eyes_visible_through_hair,eyes_visible_through_hair,透过头发可以看到的眼睛,,,
1613,eyeshadow,eyeshadow,眼影,,,
1614,eyewear_on_head,eyewear_on_head,眼镜别在头上,,,
1615,eyewear_removed,eyewear_removed,摘眼镜,,,
1616,face,face,脸部,,,
1617,face-to-face,face-to-face,脸贴脸,,,
1618,faceless,faceless,没有脸部细节的,,,
1619,faceless_female,faceless_female,无脸部女性,,,
1620,faceless_male,faceless_male,无脸部男性,,,
1621,facepaint,facepaint,脸部画有图案,,,
1622,facepalm,facepalm,以手掩面,,,
1623,facial,facial,颜射,,,
1624,facial_hair,facial_hair,胡须,,,
1625,facial_mark,facial_mark,脸部有图案,,,
1626,facial_tattoo,facial_tattoo,脸部有纹身,,,
1627,facing_another,facing_another,二人面对面(脸贴得很近),,,
1628,facing_away,facing_away,面向别处,,,
1629,facing_viewer,facing_viewer,面向镜头,,,
1630,failure,failure,失败,,,
1631,fairy,fairy,妖精,,,
1632,fairy_wings,fairy_wings,妖精的翅膀,,,
1633,fake_animal_ears,fake_animal_ears,仿制的动物耳朵,,,
1634,fake_cover,fake_cover,(同人向玩梗向的)封面,,,
1635,fake_facial_hair,fake_facial_hair,假胡须,,,
1636,fake_horns,fake_horns,装饰性的角,,,
1637,fake_mustache,fake_mustache,假胡子,,,
1638,fake_screenshot,fake_screenshot,(同人向玩梗向的)截图,,,
1639,fake_tail,fake_tail,仿造的尾巴,,,
1640,fake_wings,fake_wings,仿造的翅膀,,,
1641,falchion_(fire_emblem),falchion_(fire_emblem),法尔西昂(火焰之纹章),,,
1642,fallen_down,fallen_down,倒地的,,,
1643,falling,falling,正在下坠的,,,
1644,falling_leaves,falling_leaves,落叶,,,
1645,falling_petals,falling_petals,落花,,,
1646,family,family,一家子,,,
1647,family_crest,family_crest,家徽,,,
1648,fan,fan,扇子|电风扇,,,
1649,fang,fang,虎牙,,,
1650,fang_out,fang_out,露出虎牙|露出尖牙,,,
1651,fangs,fangs,尖牙,,,
